question,correct_answer,possible_answers,type
Who was the producer of New York?,Lou Reed,"[""Lou Reed"", ""Lewis Allen Reed"", ""Lewis Allan Reed""]",producer
Who is the author of The Americans?,John Jakes,"[""John Jakes"", ""John William Jakes"", ""Jay Scotland""]",author
Who was the screenwriter for The Square?,Joel Edgerton,"[""Joel Edgerton""]",screenwriter
Who was the screenwriter for The Great Fire?,Tom Bradby,"[""Tom Bradby"", ""Thomas Matthew Bradby""]",screenwriter
Who was the director of Dear Diary?,David Frankel,"[""David Frankel""]",director
Who was the composer of Sigappu Rojakkal?,Ilaiyaraaja,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",composer
Who is the author of Harvest?,Jim Crace,"[""Jim Crace"", ""James Crace""]",author
Who was the screenwriter for Opening Night?,Bathsheba Doran,"[""Bathsheba Doran"", ""Noelle Valdivia""]",screenwriter
In what country is Brown University?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What genre is Trigger?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What is the capital of Bhutan?,Thimphu,"[""Thimphu"", ""Thimpu""]",capital
Who is the father of Mojmir II?,Svatopluk I,"[""Svatopluk I""]",father
Who is the author of The Game?,Harold Brighouse,"[""Harold Brighouse""]",author
Who is the author of The Confusion?,Neal Stephenson,"[""Neal Stephenson"", ""Neal Town Stephenson"", ""Stephen Bury""]",author
Who was the director of My Own Private Idaho?,Gus Van Sant,"[""Gus Van Sant"", ""Gus Greene Van Sant Junior"", ""Gus Green Van Sant Jr,""]",director
Who was the screenwriter for Elephant?,Gus Van Sant,"[""Gus Van Sant"", ""Gus Greene Van Sant Junior"", ""Gus Green Van Sant Jr,""]",screenwriter
Who was the screenwriter for Office Space?,Mike Judge,"[""Mike Judge"", ""Judgemental Films"", ""Michael Judge"", ""Michael Craig Judge"", ""Michael C. Judge""]",screenwriter
Who was the composer of Guru?,Ilaiyaraaja,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",composer
Who was the screenwriter for 23?,Hans-Christian Schmid,"[""Hans-Christian Schmid""]",screenwriter
What is Cape Town the capital of?,Western Cape,"[""Western Cape"", ""Western Cape Province"", ""province of the Western Cape"", ""province of Western Cape"", ""Union of South Africa"", ""Dominion of South Africa"", ""USA"", ""South Africa under Apartheid"", ""South Africa"", ""Republic of South Africa"", ""RSA"", ""SA"", ""za"", ""🇿🇦"", ""zaf""]",capital of
What is the capital of Olyokminsky District?,Olyokminsk,"[""Olyokminsk""]",capital
Who is the author of Emma?,Jane Austen,"[""Jane Austen""]",author
Who was the director of In the Cut?,Jane Campion,"[""Jane Campion"", ""Elizabeth Jane Campion"", ""Dame Jane Campion"", ""Dame Elizabeth Jane Campion""]",director
Who was the director of Workforce?,Roxann Dawson,"[""Roxann Dawson"", ""Roxanne Dawson"", ""Roxann Caballero"", ""Roxanne Caballero"", ""Allan Kroeker""]",director
Who is the author of Halloween?,Robert Burns,"[""Robert Burns"", ""Robbie Burns"", ""Rabbie Burns"", ""Scotland's favourite son"", ""Ploughman Poet"", ""Robden of Solway Firth"", ""Bard of Ayrshire"", ""The Bard""]",author
What genre is Mario Talavera?,popular music,"[""popular music"", ""pop music"", ""pop""]",genre
Who was the director of The Turning Point?,Fridrikh Ermler,"[""Fridrikh Ermler"", ""Fridrikh Markovich Ermler""]",director
What genre is The Matrix?,cyberpunk,"[""cyberpunk"", ""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
Who is the author of In the Wet?,Nevil Shute,"[""Nevil Shute"", ""Nevil Shute Norway""]",author
What sport does Ayoze Díaz Díaz play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Shonali Bose's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
Who is the mother of Nathan?,Bathsheba,"[""Bathsheba"", ""Bat Sheva"", ""Bathshua"", ""Bethsabe""]",mother
Who was the producer of The Odd Life of Timothy Green?,Ahmet Zappa,"[""Ahmet Zappa"", ""Ahmet Emuukha Rodan Zappa""]",producer
Who was the composer of California Gurls?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry"", ""Snoop Dogg"", ""Snoop Doggy Dogg"", ""Bigg Snoop Dogg"", ""Snoop Lion"", ""Calvin Broadus"", ""Snoopzilla"", ""Cordozar Calvin Broadus"", ""Snoop D.O. Double G"", ""Snoop Rock"", ""Calvin Cordozar Broadus Jr."", ""Calvin Broadus Jr."", ""Cordozar Calvin Broadus Jr."", ""Keresztes Ildikó"", ""Calvin Corde Broadus"", ""Snoop-A-Loop"", ""Benny Blanco"", ""Benjamin Joseph Levin"", ""00503442298 IPI""]",composer
What genre is Too Short?,hip hop music,"[""hip hop music"", ""hip-hop music""]",genre
Who was the director of Inflatable Sex Doll of the Wastelands?,Atsushi Yamatoya,"[""Atsushi Yamatoya""]",director
Who was the director of The Company?,Robert Altman,"[""Robert Altman""]",director
Who was the director of Uncertainty?,Scott McGehee,"[""Scott McGehee""]",director
Who is the author of Nerve?,Dick Francis,"[""Dick Francis""]",author
Who was the screenwriter for The Theme?,Gleb Panfilov,"[""Gleb Panfilov"", ""Gleb Anatolyevich Panfilov""]",screenwriter
What is the capital of Beltrami County?,Bemidji,"[""Bemidji"", ""Bemidji, Minnesota"", ""Bemidji, MN""]",capital
Who was the director of Days of Tomorrow?,Jeffrey Lau,"[""Jeffrey Lau"", ""Liu Zhenwei"", ""Lau Chun-Wai"", ""Jeffrey Lau Chun-Wai""]",director
Who was the producer of Artifact?,Jared Leto,"[""Jared Leto"", ""Bartholomew Cubbins"", ""Angakok Panipaq"", ""Jared Joseph Leto""]",producer
Who was the screenwriter for Familia?,Louise Archambault,"[""Louise Archambault""]",screenwriter
Who was the screenwriter for Another Year?,Mike Leigh,"[""Mike Leigh""]",screenwriter
Who was the screenwriter for Pilot?,David Shore,"[""David Shore""]",screenwriter
Who was the screenwriter for Persuasion?,Nick Dear,"[""Nick Dear""]",screenwriter
Who was the director of Cotton Comes to Harlem?,Ossie Davis,"[""Ossie Davis"", ""Raiford Chatman Davis""]",director
Who was the director of Wanted?,Giorgio Ferroni,"[""Giorgio Ferroni""]",director
What genre is Close to Home?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is I Will Be There?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
Who was the composer of Eliza?,Thomas Arne,"[""Thomas Arne"", ""Thomas Augustus Arne"", ""Thomas Augustine Arne""]",composer
Who was the producer of The Island?,Michael Bay,"[""Michael Bay"", ""Michael Benjamin Bay""]",producer
What genre is Teacher's Pet?,musical film,"[""musical film"", ""musical movie""]",genre
What is the capital of Cache County?,Logan,"[""Logan"", ""Logan, Utah""]",capital
Who was the screenwriter for Empire?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",screenwriter
Who is the author of Smoke?,Lisa Unger,"[""Lisa Unger"", ""Lisa Miscione""]",author
What genre is City of Pearl?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Gimme the Power?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the screenwriter for Genesis?,Tim Kring,"[""Tim Kring"", ""Richard Timothy \""Tim\"" Kring"", ""Richard Timothy Kring""]",screenwriter
Who is the author of Dry?,Augusten Burroughs,"[""Augusten Burroughs"", ""Augusten Xon Burroughs""]",author
What is Levi P. Powers's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the director of The Reef?,Robert Allan Ackerman,"[""Robert Allan Ackerman""]",director
What genre is Picture This?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
Who was the director of October 1?,Kunle Afolayan,"[""Kunle Afolayan""]",director
What genre is Water?,comedy film,"[""comedy film"", ""comedy movie""]",genre
Who was the director of Arizona?,Wesley Ruggles,"[""Wesley Ruggles""]",director
What genre is New Jersey?,hard rock,"[""hard rock""]",genre
Who was the screenwriter for Helen?,Sandra Nettelbeck,"[""Sandra Nettelbeck""]",screenwriter
What is the capital of Estonia?,Tallinn,"[""Tallinn"", ""Reval"", ""Revel"", ""Rewel"", ""Kolywan"", ""Lyndanisse"", ""Lindanäs"", ""Reuel""]",capital
In what city was Dilson Torres born?,Maracay,"[""Maracay""]",place of birth
Who was the producer of Apache?,Burt Lancaster,"[""Burt Lancaster"", ""Burton Stephen Lancaster"", ""Burton Lancaster""]",producer
Who is the mother of Horae?,Themis,"[""Themis""]",mother
Who was the screenwriter for Get Hard?,Etan Cohen,"[""Etan Cohen""]",screenwriter
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
Who is the father of Ram?,Hezron,"[""Hezron""]",father
What is the capital of Norway?,Oslo,"[""Oslo"", ""Christiania"", ""Kristiania"", ""NOOSL"", ""Oslo, Norway""]",capital
Who was the director of The Hand?,Henry Cass,"[""Henry Cass""]",director
Who was the composer of Time?,Rahul Raj,"[""Rahul Raj""]",composer
Who was the director of Kagemusha?,Akira Kurosawa,"[""Akira Kurosawa"", ""Kurosawa Akira"", ""Kurosawa""]",director
Who was the director of Thanks for Sharing?,Stuart Blumberg,"[""Stuart Blumberg""]",director
Who was the director of Darling?,John Schlesinger,"[""John Schlesinger"", ""John Richard Schlesinger""]",director
What is the capital of Province of South Carolina?,Charleston,"[""Charleston"", ""Charleston, South Carolina"", ""Charles Town""]",capital
Who was the producer of About Face?,Bob Ezrin,"[""Bob Ezrin"", ""Robert Alan Ezrin"", ""00042476488 IPI"", ""00042476586 IPI""]",producer
Who was the producer of The Counselor?,Ridley Scott,"[""Ridley Scott"", ""Sir Ridley Scott""]",producer
Who is the father of Telerig of Bulgaria?,Telets of Bulgaria,"[""Telets of Bulgaria""]",father
Who is the author of The Rain Before It Falls?,Jonathan Coe,"[""Jonathan Coe""]",author
Who is the father of Eric Anundsson?,Anund Uppsale,"[""Anund Uppsale""]",father
Who is the author of Testimony?,Solomon Volkov,"[""Solomon Volkov"", ""Solomon Moiseyevich Volkov"", ""Dmitri Shostakovich"", ""Shostakovich"", ""Shosty"", ""Dmitrii Dmitrievich Shostakovich"", ""Dmitrij Šostakovič"", ""Dmitri Dmitrievitch Chostakovitch"", ""Dimitri Shostakovich""]",author
Who was the screenwriter for In the Beginning?,Xavier Giannoli,"[""Xavier Giannoli""]",screenwriter
Who was the screenwriter for Trash?,Paul Morrissey,"[""Paul Morrissey"", ""Paul Morrisey""]",screenwriter
Who was the director of The Letter?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",director
What genre is The Cross?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the producer of The Way?,Emilio Estévez,"[""Emilio Estévez""]",producer
Who was the screenwriter for Providence?,Frank Spotnitz,"[""Frank Spotnitz"", ""Frank Charles Spotnitz""]",screenwriter
Who was the director of The Monster?,Roland West,"[""Roland West"", ""Roland Van Zimmer""]",director
What sport does Simon Tahamata play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the producer of Cracks?,Christine Vachon,"[""Christine Vachon""]",producer
Who was the composer of Empty Room?,Aleena Gibson,"[""Aleena Gibson"", ""Bobby Ljunggren"", ""Robert Vasilis Ljunggren"", ""Robert Vasilis Engdahl""]",composer
Who is the author of Carmelite Rule of St. Albert?,Albert of Vercelli,"[""Albert of Vercelli"", ""Albert Avogadro"", ""St. Alberto Avogadro""]",author
What is Sunshine the capital of?,City of Brimbank,"[""City of Brimbank"", ""Brimbank City"", ""Brimbank""]",capital of
What is the capital of Orangeburg County?,Orangeburg,"[""Orangeburg"", ""Orangeburg, South Carolina""]",capital
What genre is Tweet?,soul music,"[""soul music"", ""soul"", ""neo soul"", ""neo-soul""]",genre
In what country is Égligny?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
In what country is Atelierhaus Salzamt?,Austria,"[""Austria"", ""Österreich"", ""Republic of Austria"", ""Republik Österreich"", ""AT"", ""AUT"", ""🇦🇹""]",country
Who was the screenwriter for Mother Joan of the Angels?,Jerzy Kawalerowicz,"[""Jerzy Kawalerowicz"", ""Jerzy Franciszek Kawalerowicz""]",screenwriter
Who was the screenwriter for The Big City?,Tod Browning,"[""Tod Browning"", ""Charles Albert Browning""]",screenwriter
Who was the producer of On the Border?,Bill Szymczyk,"[""Bill Szymczyk"", ""Glyn Johns"", ""Glyn Thomas Johns""]",producer
What genre is Big Bad Mouse?,farce,"[""farce""]",genre
What genre is Sacrifice?,thrash metal,"[""thrash metal"", ""trash metal"", ""thrash"", ""Best early thrash metal""]",genre
"Who was the director of Stupid, But Brave?",Roscoe Arbuckle,"[""Roscoe Arbuckle"", ""Fatty Arbuckle"", ""Roscoe Conkling Arbuckle"", ""William Goodrich""]",director
What genre is Globe?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
In what country is Japan–South Korea relations?,Japan,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""JAP""]",country
Who was the producer of 18?,Moby,"[""Moby"", ""Richard Melville Hall"", ""Voodoo Child"", ""Barracuda"", ""Brainstorm"", ""Schaumgummi"", ""Pippy Baliunas"", ""UHF"", ""Elizabeth McBride""]",producer
Who is the author of In High Places?,Harry Turtledove,"[""Harry Turtledove"", ""Dan Chernenko"", ""Eric G. Iverson"", ""Mark Gordian"", ""H.N. Turteltaub"", ""Harry Norman Turtledove""]",author
What is the capital of Confederate States of America?,Montgomery,"[""Montgomery"", ""Montgomery, Alabama"", ""Montgomery, AL"", ""Richmond"", ""Richmond, Virginia"", ""Richmond, VA"", ""Richmond City""]",capital
In what country is Jefferson?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What genre is Love?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
Who was the director of Boots?,Elmer Clifton,"[""Elmer Clifton""]",director
What sport does Afyonkarahisarspor play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the author of Sweet Tooth?,Jeff Lemire,"[""Jeff Lemire""]",author
Who was the screenwriter for Regeneration?,Raoul Walsh,"[""Raoul Walsh""]",screenwriter
Who is the author of Glue?,Irvine Welsh,"[""Irvine Welsh""]",author
Who is the author of Over the Edge?,Greg Child,"[""Greg Child""]",author
Who is the author of The Culture of Collaboration?,Evan Rosen,"[""Evan Rosen""]",author
Who is the mother of Afonso II of Portugal?,Dulce of Aragon,"[""Dulce of Aragon"", ""Dulce Berenguer de Barcelona""]",mother
Who was the composer of Music?,John Miles,"[""John Miles""]",composer
Who was the producer of Friends?,Marta Kauffman,"[""Marta Kauffman"", ""Marta Fran Kauffman"", ""David Crane""]",producer
What is the capital of County Kilkenny?,Kilkenny,"[""Kilkenny""]",capital
