question,correct_answer,possible_answers,type
What genre is Genesis?,folk rock,"[""folk rock""]",genre
What genre is Settle?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is Revelations?,soap opera,"[""soap opera"", ""soap"", ""soapie"", ""soapopera""]",genre
What genre is The Children?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is A Taste of Honey?,disco,"[""disco"", ""disco music""]",genre
What genre is Free & Easy?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is Target?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
What genre is Device?,industrial metal,"[""industrial metal""]",genre
What genre is The Internship?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Der Schuh des Manitu?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
What genre is Project A?,martial arts film,"[""martial arts film"", ""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is Meltdown?,experimental rock,"[""experimental rock"", ""avant-garde rock"", ""avant rock""]",genre
What genre is Needle?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Champion?,hardcore hip hop,"[""hardcore hip hop"", ""hardcore rap""]",genre
What genre is The Divorce?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Pioneer?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Magic Music?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is The Who by Numbers?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Chasing Liberty?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is Nothing?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Gone?,rhythm and blues,"[""rhythm and blues"", ""R&B"", ""RnB"", ""R and B"", ""R & B""]",genre
What genre is The Freeze?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is Voyage?,synth-pop,"[""synth-pop"", ""synthesizer pop"", ""techno-pop"", ""synthpop""]",genre
What genre is Versus?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is Bullet?,horror literature,"[""horror literature"", ""mystery fiction"", ""mysteries"", ""mystery"", ""mystery books"", ""mystery literature"", ""detective and mystery fiction""]",genre
What genre is Hand Held?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Fuel?,post-grunge,"[""post-grunge"", ""hard rock""]",genre
What genre is Console?,electronic music,"[""electronic music"", ""electrosonic""]",genre
What genre is The Relic?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is The Lost?,third-person shooter,"[""third-person shooter"", ""TPS""]",genre
What genre is At Sunset?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What genre is Bakkushan?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is Volunteers?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is The Flip?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Discount?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is Ritual?,horror literature,"[""horror literature""]",genre
What genre is Marty Marsala?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Qian Du?,landscape art,"[""landscape art"", ""landscape painting"", ""landscape""]",genre
What genre is Crime as Forgiven by Against Me!?,folk punk,"[""folk punk"", ""rogue folk""]",genre
What genre is Hate?,black metal,"[""black metal"", ""extreme metal"", ""death metal""]",genre
What genre is Family Business?,heist film,"[""heist film"", ""heist movie"", ""heist"", ""heist films"", ""heist movies"", ""caper film"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is All I Need to Know?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
What genre is The Possession?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is House Guest?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is The Cleftones?,doo-wop,"[""doo-wop"", ""doo wop""]",genre
What genre is The Rite?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""horror film"", ""horror movie""]",genre
What genre is Bush?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Wizardry V: Heart of the Maelstrom?,role-playing video game,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre
What genre is Deadline?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Prince?,rock music,"[""rock music"", ""rock and roll"", ""rock"", ""funk"", ""pop music"", ""pop"", ""rhythm and blues"", ""R&B"", ""RnB"", ""R and B"", ""R & B"", ""Minneapolis sound""]",genre
What genre is Brand New?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is Too Short?,hip hop music,"[""hip hop music"", ""hip-hop music""]",genre
What genre is The Hunger?,erotica,"[""erotica"", ""anthology series""]",genre
What genre is Get Happy with the Randy Weston Trio?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Blind Spot?,mystery film,"[""mystery film"", ""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Really Me?,teen sitcom,"[""teen sitcom"", ""teen situation comedy""]",genre
What genre is C. L. Blast?,soul music,"[""soul music"", ""soul""]",genre
What genre is Million Dollar Baby?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is Jacks?,psychedelic rock,"[""psychedelic rock"", ""acid rock"", ""psy rock"", ""psyrock"", ""psychedelia""]",genre
What genre is The Simple Life?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is To Mother?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is I'll Be There?,pop music,"[""pop music"", ""pop""]",genre
What genre is The Splatters?,puzzle video game,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]",genre
What genre is High Season?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is 22?,pop music,"[""pop music"", ""pop""]",genre
What genre is Hurt?,alternative metal,"[""alternative metal"", ""alt-metal""]",genre
What genre is Beautiful Garbage?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is A Little Bit Stronger?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
What genre is The Outfit?,crime film,"[""crime film"", ""crime movie""]",genre
What genre is Lunar?,role-playing video game,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre
What genre is Win Win?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Mountains?,blues rock,"[""blues rock""]",genre
What genre is Worse Things Waiting?,fantasy,"[""fantasy"", ""fantasy fiction"", ""horror literature""]",genre
What genre is Slow West?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
What genre is Riverside?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is Ylana of Callisto?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Second-Hand Hearts?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is This Love?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What genre is Protocol?,pop music,"[""pop music"", ""pop""]",genre
What genre is Heaven 17?,synth-pop,"[""synth-pop"", ""synthesizer pop"", ""techno-pop"", ""synthpop""]",genre
What genre is Corrupted?,doom metal,"[""doom metal"", ""sludge metal"", ""Sludge"", ""Sludgecore"", ""Sludge doom""]",genre
What genre is Beck?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""anti-folk"", ""antifolk"", ""unfolk""]",genre
What genre is Diabolis Interium?,black metal,"[""black metal""]",genre
What genre is Mercy?,erotic thriller,"[""erotic thriller""]",genre
What genre is Prototype?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Vs.?,fighting game,"[""fighting game"", ""fighting video games""]",genre
What genre is We Are Family?,disco,"[""disco"", ""disco music""]",genre
What genre is Magic?,soap opera,"[""soap opera"", ""soap"", ""soapie"", ""soapopera""]",genre
What genre is Women?,art rock,"[""art rock""]",genre
What genre is The Millions?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is Conflict?,anthology series,"[""anthology series""]",genre
What genre is The Saint?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""spy film""]",genre
What genre is You Little Thief?,pop music,"[""pop music"", ""pop""]",genre
What genre is The Once?,traditional music,"[""traditional music"", ""traditional folk music"", ""popular melody"", ""folk music"", ""music traditions"", ""musical folklore""]",genre
What genre is Ultima?,role-playing video game,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre
What genre is The Mushroom?,crime film,"[""crime film"", ""crime movie""]",genre
What genre is Driven?,racing video game,"[""racing video game"", ""racing game"", ""racing video games"", ""racer""]",genre
What genre is In the Dark?,reggae,"[""reggae"", ""reggae music""]",genre
What genre is Loaded?,hard rock,"[""hard rock""]",genre
What genre is A Painted House?,legal thriller,"[""legal thriller""]",genre
What genre is The Interview?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Gasoline?,crime film,"[""crime film"", ""crime movie""]",genre
What genre is Steal This Record?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is The Host?,monster film,"[""monster film"", ""monster movie"", ""creature feature"", ""giant monster film"", ""Monster horror films"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Michel Langevin?,heavy metal,"[""heavy metal"", ""heavy metal music"", ""Metal"", ""Metal music""]",genre
What genre is The Wood?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is Brilliant?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
